,Station,Date,PCAw_1,PCAw_2,PCAw_3,PCAw_4,PCAw_5
0,1,2007-05-01,-0.0577206401553,0.533772282839,1.56744131275,-1.06117446996,-0.773029398805
1,2,2007-05-01,-0.205413779074,0.418892874269,1.06840674192,-0.873616792657,-0.634202661627
2,1,2007-05-02,4.00680366221,0.841067311285,-1.67266533911,1.2839714183,-0.160401833261
3,2,2007-05-02,3.88891155314,0.657484946948,-1.90286569557,1.46679359394,-0.156671695587
4,1,2007-05-03,3.16691286325,0.250539391972,-1.52897719338,0.95709244026,-0.130787167152
5,2,2007-05-03,2.89436155617,0.321814119388,-2.14911567894,1.1531035685,0.00409167969597
6,1,2007-05-04,2.57538589625,0.350403930781,-0.882543987379,0.835395884003,-0.476908578268
7,2,2007-05-04,1.14278294063,-0.119746099195,-1.24026007423,0.889856660608,-0.596125011007
8,1,2007-05-05,2.55356061334,0.213051600493,-1.68248926319,1.01383327454,-0.224572177978
9,2,2007-05-05,2.45647535137,-0.0831892933424,-1.66522864934,0.994157318707,-0.13235712927
10,1,2007-05-06,3.54789484483,0.0276685271821,-3.29430491361,0.781689314036,0.786141537946
11,2,2007-05-06,3.35187050088,-0.291275837738,-3.29221124058,0.848196135908,0.787043814234
12,1,2007-05-07,1.33581402311,-0.352734907756,-1.0481784561,-0.07262680546,0.0572610289361
13,2,2007-05-07,1.15403115807,-0.681780387847,-1.23263024173,-0.0818987475423,0.152549798177
14,1,2007-05-08,-0.449921514214,-1.45120567304,0.731629462939,0.258535752636,-0.646286733189
15,2,2007-05-08,-0.760680050067,-1.79525857011,0.504680705577,0.460913087064,-0.607920835687
16,1,2007-05-09,-0.842517105342,-0.693571177469,0.921619991976,0.663445452823,-0.758608280919
17,2,2007-05-09,-0.952145140179,-1.01823606111,0.642051672352,0.676728087324,-0.902704067453
18,1,2007-05-10,-0.730527579828,-1.25309494746,1.66574729194,-0.481464832393,-0.883350708792
19,2,2007-05-10,-0.873293921855,-1.45484549941,1.21290083281,0.206606369158,-1.07703306798
20,1,2007-05-11,2.08600720689,0.574052916233,-1.51816668339,1.37842173474,-0.633229641236
21,2,2007-05-11,1.99755409176,1.16196873516,-1.28089594172,-1.36497401601,0.883152341134
22,1,2007-05-12,3.7370591147,-0.108600574447,-2.22275498511,1.31820200967,0.108378218628
23,2,2007-05-12,3.57873168977,-0.245119004034,-2.43816804006,1.51199821138,0.10046824224
24,1,2007-05-13,3.50452459719,-1.51078985203,-0.660544231428,0.0109292141814,0.364862276687
25,2,2007-05-13,3.44378702961,-1.88225937569,-0.772934192185,0.243956408671,0.3171597002
26,1,2007-05-14,-0.323904107939,2.63501636178,-3.01494980167,-0.00830932562687,0.163158105522
27,2,2007-05-14,-0.0883897506611,1.59503308458,-2.36463028328,-0.185429688309,0.176139969493
28,1,2007-05-15,-0.610771425268,1.83303180602,0.290767482335,-0.24670593823,0.345991623216
