Date,Trap,weather_station,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS,spray,PCAw1,PCAw2,PCAw3,PCAw4,PCAw5
2007-05-29,T002,1,0.0,1.0,0.0,0.0,0.0,0.0,1000,-1.32225892933,-1.4228593245,-0.539960750761,-0.364723707341,0.243278114025
2007-05-29,T002,1,0.0,0.0,1.0,0.0,0.0,0.0,1000,-1.32225892933,-1.4228593245,-0.539960750761,-0.364723707341,0.243278114025
2007-05-29,T007,1,0.0,0.0,1.0,0.0,0.0,0.0,1000,-1.32225892933,-1.4228593245,-0.539960750761,-0.364723707341,0.243278114025
2007-05-29,T015,1,0.0,1.0,0.0,0.0,0.0,0.0,1000,-1.32225892933,-1.4228593245,-0.539960750761,-0.364723707341,0.243278114025
2007-05-29,T015,1,0.0,0.0,1.0,0.0,0.0,0.0,1000,-1.32225892933,-1.4228593245,-0.539960750761,-0.364723707341,0.243278114025
2007-05-29,T045,2,0.0,0.0,1.0,0.0,0.0,0.0,1000,-1.81856091872,-1.43647970988,-0.938868734887,-0.219806050885,0.342442649191
2007-05-29,T046,2,0.0,0.0,1.0,0.0,0.0,0.0,1000,-1.81856091872,-1.43647970988,-0.938868734887,-0.219806050885,0.342442649191
2007-05-29,T048,2,0.0,1.0,0.0,0.0,0.0,0.0,1000,-1.81856091872,-1.43647970988,-0.938868734887,-0.219806050885,0.342442649191
2007-05-29,T048,2,0.0,0.0,1.0,0.0,0.0,0.0,1000,-1.81856091872,-1.43647970988,-0.938868734887,-0.219806050885,0.342442649191
2007-05-29,T049,2,0.0,0.0,1.0,0.0,0.0,0.0,1000,-1.81856091872,-1.43647970988,-0.938868734887,-0.219806050885,0.342442649191
2007-05-29,T050,2,0.0,1.0,0.0,0.0,0.0,0.0,1000,-1.81856091872,-1.43647970988,-0.938868734887,-0.219806050885,0.342442649191
2007-05-29,T054,2,0.0,1.0,0.0,0.0,0.0,0.0,1000,-1.81856091872,-1.43647970988,-0.938868734887,-0.219806050885,0.342442649191
2007-05-29,T054,2,0.0,0.0,1.0,0.0,0.0,0.0,1000,-1.81856091872,-1.43647970988,-0.938868734887,-0.219806050885,0.342442649191
2007-05-29,T086,2,0.0,1.0,0.0,0.0,0.0,0.0,1000,-1.81856091872,-1.43647970988,-0.938868734887,-0.219806050885,0.342442649191
2007-05-29,T086,2,0.0,0.0,1.0,0.0,0.0,0.0,1000,-1.81856091872,-1.43647970988,-0.938868734887,-0.219806050885,0.342442649191
